id,name,category,region,status,reason,image_url,image_source,source_title,url_title,score,non_food_keyword,prev_url,prev_title,prev_url_reachable,license,flags
190,Achari Biryani,Rice,Sindh,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Achari Biryani ★),,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Achari_Biryani.JPG,Achari Biryani,false,cc0,prev-url-available;prev-url-unverified
773,Adrak Chai,Drinks,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Ginger Tea Adrak wali Chai ★),,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Ginger_Tea_%28Adrak_wali_Chai%29.jpg,Ginger Tea (Adrak wali Chai),false,by-sa,prev-url-available;prev-url-unverified
854,Akki Roti,Bread,Punjab,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Akki roti ★),,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Akki_roti.jpg,Akki roti,false,by-sa,prev-url-available;prev-url-unverified
1469,Almond,Fruit,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,"Wikimedia Commons via Openverse (Home-made almond milk, November 2012 ★)",,,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Home-made_almond_milk%2C_November_2012.jpg,"Home-made almond milk, November 2012",true,by,prev-url-available;prev-url-reachable
1351,Almond (Baadaam),Fruit,Khyber Pakhtunkhwa,GOOD,url reachable (200); title overlaps name,https://upload.wikimedia.org/wikipedia/commons/d/de/Home-made_almond_milk%2C_November_2012.jpg,"Wikimedia Commons via Openverse (Home-made almond milk, November 2012 ★)",,"Home-made almond milk, November 2012",0.5,,https://upload.wikimedia.org/wikipedia/commons/d/de/Home-made_almond_milk%2C_November_2012.jpg,"Home-made almond milk, November 2012",,by,
465,Aloo Bukhara Halwa,Dessert,Punjab,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Aloo Bukhara Sharbat ★),,,,,,,,,no-candidate
796,Aloo Bukhara Sharbat,Drinks,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Aloo Bukhara Sharbat ★),,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Plum_juice.jpg/640px-Plum_juice.jpg,Aloo Bukhara Sharbat,false,cc0,prev-url-available;prev-url-unreachable
1236,Aloo Chaat,Snacks,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,"Wikimedia Commons via Openverse (Aloo chaat vendor, Connaught Place, New Delhi ★)",,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Aloo_chaat_vendor%2C_Connaught_Place%2C_New_Delhi.jpg,"Aloo chaat vendor, Connaught Place, New Delhi",false,by-sa,prev-url-available;prev-url-unverified
1489,Aloo Chana,Curry & Kebab,Common Across Pakistan,MISSING_NO_CANDIDATE,no image and no source,,,,,,,,,,,no-candidate
184,Aloo Chawal,Rice,Sindh,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Saloonay Chawal With Aloo Gosht ★),,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Saloonay_Chawal_With_Aloo_Gosht.JPG,Saloonay Chawal With Aloo Gosht,false,cc0,prev-url-available;prev-url-unverified
9,Aloo Gobi,Sabzi,,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/0/01/Tapenade_and_green_olives_on_aloo_gobi_paratha_-_Massachusetts.jpg,Wikimedia Commons via Openverse (Tapenade and green olives on aloo gobi paratha - Massachusetts ★),,Tapenade and green olives on aloo gobi paratha - Massachusetts,1,,https://upload.wikimedia.org/wikipedia/commons/0/01/Tapenade_and_green_olives_on_aloo_gobi_paratha_-_Massachusetts.jpg,Tapenade and green olives on aloo gobi paratha - Massachusetts,,cc0,probe-ratelimited
817,Aloo Kulcha,Bread,Punjab,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/d/d7/Amritsari_Aloo_Kulcha.jpg,Wikimedia Commons via Openverse (Amritsari Aloo Kulcha ★),,Amritsari Aloo Kulcha,1,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Amritsari_Aloo_Kulcha.jpg,Amritsari Aloo Kulcha,,by-sa,probe-ratelimited
971,Aloo Naan,Bread,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (File:Amritsari Aloo Naan Thali.jpg ★),,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Amritsari_Aloo_Naan_Thali.jpg,File:Amritsari Aloo Naan Thali.jpg,false,by-sa,prev-url-available;prev-url-unverified
1228,Aloo Pakora,Snacks,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Aloo Pakora ★),,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Aloo_Pakora_.jpg,Aloo Pakora,false,by,prev-url-available;prev-url-unverified
979,Aloo Paratha,Bread,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Tapenade and green olives on aloo gobi paratha - Massachusetts ★),,,,,https://upload.wikimedia.org/wikipedia/commons/0/08/Aloo_paratha.jpg,Aloo paratha,false,by-sa,prev-url-available;prev-url-unverified
